object_id,gps_point_id,latitude,longitude,center_x,center_y,feature_dim_total,feature_dim_hog,feature_dim_lbp,feature_dim_gabor,feature_dim_texture,feature_dim_geometric
1,PH_01,36.5933983,129.50929621666666,758,146,1854,1764,26,48,8,8
2,PH_02,36.593362,129.50949343333335,732,146,1854,1764,26,48,8,8
3,PH_03,36.5933256,129.50969281666667,831,150,1854,1764,26,48,8,8
4,PH_04,36.5933309,129.50989436666666,770,221,1854,1764,26,48,8,8
5,PH_05,36.5933049,129.5100916,744,221,1854,1764,26,48,8,8
6,PH_06,36.5932997,129.5102953,843,248,1854,1764,26,48,8,8
7,PH_07,36.5933259,129.51049688333333,755,271,1854,1764,26,48,8,8
8,PH_08,36.5933,129.51069196666666,729,271,1854,1764,26,48,8,8
9,PH_09,36.5933053,129.51089566666667,1010,289,1854,1764,26,48,8,8
10,PH_10,36.5932793,129.51109505,984,290,1854,1764,26,48,8,8
11,PH_11,36.5932846,129.5112966,933,290,1854,1764,26,48,8,8
12,PH_12,36.5932691,129.5114917,934,400,1854,1764,26,48,8,8
13,PH_13,36.593264,129.51169325,1010,402,1854,1764,26,48,8,8
14,PH_14,36.5932484,129.51189478333333,983,402,1854,1764,26,48,8,8
15,PH_15,36.5932643,129.51208778333333,975,537,1854,1764,26,48,8,8
16,PH_16,36.5932486,129.5122936,949,537,1854,1764,26,48,8,8
17,PH_17,36.5932539,129.51249301666667,873,539,1854,1764,26,48,8,8
18,PH_18,36.5932278,129.51269455,854,603,1854,1764,26,48,8,8
19,PH_19,36.5932331,129.5128961,944,605,1854,1764,26,48,8,8
20,PH_20,36.593249,129.51308908333334,970,605,1854,1764,26,48,8,8
21,PH_21,36.5932229,129.5132949,866,722,1854,1764,26,48,8,8
22,PH_22,36.5931865,129.51349211666667,945,723,1854,1764,26,48,8,8
23,PH_23,36.5932231,129.5136938,971,723,1854,1764,26,48,8,8
24,PH_24,36.593197,129.5138931,966,816,1854,1764,26,48,8,8
25,PH_25,36.593171,129.51409248333334,940,816,1854,1764,26,48,8,8
